Id,Text,PvqCode,IsReverse,LikertMin,LikertMax
1,قدرت و نفوذ داشتن در محیط کار برایم هدف مهمی است.,A1,False,1,6
2,دوست دارم در تصمیم‌های مهم حرف آخر را من بزنم.,A1,False,1,6
3,ترجیح می‌دهم دیگران از من تبعیت کنند.,A1,False,1,6
4,با داشتن مقام و عنوان رسمی احساس رضایت نمی‌کنم.,A1,True,1,6
5,دستیابی به نتایج برتر برایم انگیزه‌ی اصلی است.,A2,False,1,6
6,وقتی کار سختی را با موفقیت تمام می‌کنم، احساس ارزشمندی می‌کنم.,A2,False,1,6
7,افتخار می‌کنم که همیشه بهترینِ توانم را نشان می‌دهم.,A2,False,1,6
8,برایم مهم نیست عملکردم بهتر از میانگین باشد.,A2,True,1,6
9,لذت بردن از لحظه‌ها بخش مهمی از زندگی من است.,A3,False,1,6
10,فعالیت‌هایی را انتخاب می‌کنم که حس خوشایندی به من بدهند.,A3,False,1,6
11,گاهی حاضر نیستم برای خوش‌گذرانی از برنامه‌هایم بگذرم.,A3,False,1,6
12,ترجیح می‌دهم از لذت‌های کوچک چشم‌پوشی کنم.,A3,True,1,6
13,تجربه‌های تازه و هیجان‌انگیز مرا سرحال می‌کند.,A4,False,1,6
14,از روتین یکنواخت زود خسته می‌شوم.,A4,False,1,6
15,دوست دارم کارهایی کنم که در من حس ماجراجویی ایجاد کند.,A4,False,1,6
16,ترجیح می‌دهم همه‌چیز تغییر نکند و ثابت بماند.,A4,True,1,6
17,خودم تصمیم می‌گیرم و استقلال برایم ارزشمند است.,A5,False,1,6
18,آزادی در انتخاب مسیرم برایم حیاتی است.,A5,False,1,6
19,ترجیح می‌دهم ایده‌هایم را بدون محدودیت دنبال کنم.,A5,False,1,6
20,راهنمایی مداوم دیگران را به خلاقیتم ترجیح می‌دهم.,A5,True,1,6
21,به رفاه همه‌ی انسان‌ها و طبیعت اهمیت می‌دهم.,A6,False,1,6
22,وقتی بی‌عدالتی می‌بینم، نمی‌توانم بی‌تفاوت بمانم.,A6,False,1,6
23,تفاوت‌های فرهنگی را با احترام می‌پذیرم.,A6,False,1,6
24,موضوعات محیط‌زیستی برایم اهمیتی ندارد.,A6,True,1,6
25,کمک به اطرافیانم برایم رضایت‌بخش است.,A7,False,1,6
26,وفاداری به دوستان و خانواده برایم ارزش بالایی دارد.,A7,False,1,6
27,اگر بتوانم باری از دوش نزدیکان بردارم، دریغ نمی‌کنم.,A7,False,1,6
28,ترجیح می‌دهم درگیر مشکلات دیگران نشوم.,A7,True,1,6
29,آیین‌ها و سنت‌های خانوادگی برایم معنا دارند.,A8,False,1,6
30,پیوند با باورهای دیرینه برایم مهم است.,A8,False,1,6
31,رعایت رسم‌های پذیرفته‌شده را ضروری می‌دانم.,A8,False,1,6
32,با سنت‌ها رابطه‌ای ندارم و اهمیتی نمی‌دهم.,A8,True,1,6
33,سعی می‌کنم قوانین و هنجارها را رعایت کنم.,A9,False,1,6
34,به دیگران احترام می‌گذارم و از آزارشان پرهیز می‌کنم.,A9,False,1,6
35,پای‌بندی به مقررات نظم می‌آورد.,A9,False,1,6
36,قواعد جمعی را دست‌وپاگیر می‌دانم و نادیده می‌گیرم.,A9,True,1,6
37,امنیت و ثبات برایم آرامش می‌آورد.,A10,False,1,6
38,بهداشت و ایمنی در کار و زندگی برایم مهم است.,A10,False,1,6
39,می‌کوشم از خود و خانواده‌ام محافظت کنم.,A10,False,1,6
40,ریسک‌های غیرضروری را دوست دارم حتی اگر ناامن باشد.,A10,True,1,6
