TalentId,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12
E1,0.0500,0.1000,0.1500,0.2000,0.2500,0.3000,0.3500,0.4000,0.4500,0.5000,0.5500,0.6000
E2,0.1000,0.2000,0.3000,0.4000,0.5000,0.6000,0.7000,0.8000,0.0500,0.1500,0.2500,0.3500
E3,0.1500,0.3000,0.4500,0.6000,0.7500,0.0500,0.2000,0.3500,0.5000,0.6500,0.8000,0.1000
E4,0.2000,0.4000,0.6000,0.8000,0.1500,0.3500,0.5500,0.7500,0.1000,0.3000,0.5000,0.7000
E5,0.2500,0.5000,0.7500,0.1500,0.4000,0.6500,0.0500,0.3000,0.5500,0.8000,0.2000,0.4500
E6,0.3000,0.6000,0.0500,0.3500,0.6500,0.1000,0.4000,0.7000,0.1500,0.4500,0.7500,0.2000
E7,0.3500,0.7000,0.2000,0.5500,0.0500,0.4000,0.7500,0.2500,0.6000,0.1000,0.4500,0.8000
E8,0.4000,0.8000,0.3500,0.7500,0.3000,0.7000,0.2500,0.6500,0.2000,0.6000,0.1500,0.5500
E9,0.4500,0.0500,0.5000,0.1000,0.5500,0.1500,0.6000,0.2000,0.6500,0.2500,0.7000,0.3000
E10,0.5000,0.1500,0.6500,0.3000,0.8000,0.4500,0.1000,0.6000,0.2500,0.7500,0.4000,0.0500
E11,0.5500,0.2500,0.8000,0.5000,0.2000,0.7500,0.4500,0.1500,0.7000,0.4000,0.1000,0.6500
E12,0.6000,0.3500,0.1000,0.7000,0.4500,0.2000,0.8000,0.5500,0.3000,0.0500,0.6500,0.4000
E13,0.6500,0.4500,0.2500,0.0500,0.7000,0.5000,0.3000,0.1000,0.7500,0.5500,0.3500,0.1500
E14,0.7000,0.5500,0.4000,0.2500,0.1000,0.8000,0.6500,0.5000,0.3500,0.2000,0.0500,0.7500
E15,0.7500,0.6500,0.5500,0.4500,0.3500,0.2500,0.1500,0.0500,0.8000,0.7000,0.6000,0.5000
E16,0.8000,0.7500,0.7000,0.6500,0.6000,0.5500,0.5000,0.4500,0.4000,0.3500,0.3000,0.2500
E17,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
E18,0.0500,0.1000,0.1500,0.2000,0.2500,0.3000,0.3500,0.4000,0.4500,0.5000,0.5500,0.6000
E19,0.1000,0.2000,0.3000,0.4000,0.5000,0.6000,0.7000,0.8000,0.0500,0.1500,0.2500,0.3500
E20,0.1500,0.3000,0.4500,0.6000,0.7500,0.0500,0.2000,0.3500,0.5000,0.6500,0.8000,0.1000
E21,0.2000,0.4000,0.6000,0.8000,0.1500,0.3500,0.5500,0.7500,0.1000,0.3000,0.5000,0.7000
E22,0.2500,0.5000,0.7500,0.1500,0.4000,0.6500,0.0500,0.3000,0.5500,0.8000,0.2000,0.4500
E23,0.3000,0.6000,0.0500,0.3500,0.6500,0.1000,0.4000,0.7000,0.1500,0.4500,0.7500,0.2000
E24,0.3500,0.7000,0.2000,0.5500,0.0500,0.4000,0.7500,0.2500,0.6000,0.1000,0.4500,0.8000
E25,0.4000,0.8000,0.3500,0.7500,0.3000,0.7000,0.2500,0.6500,0.2000,0.6000,0.1500,0.5500
E26,0.4500,0.0500,0.5000,0.1000,0.5500,0.1500,0.6000,0.2000,0.6500,0.2500,0.7000,0.3000
E27,0.5000,0.1500,0.6500,0.3000,0.8000,0.4500,0.1000,0.6000,0.2500,0.7500,0.4000,0.0500
E28,0.5500,0.2500,0.8000,0.5000,0.2000,0.7500,0.4500,0.1500,0.7000,0.4000,0.1000,0.6500
E29,0.6000,0.3500,0.1000,0.7000,0.4500,0.2000,0.8000,0.5500,0.3000,0.0500,0.6500,0.4000
E30,0.6500,0.4500,0.2500,0.0500,0.7000,0.5000,0.3000,0.1000,0.7500,0.5500,0.3500,0.1500
E31,0.7000,0.5500,0.4000,0.2500,0.1000,0.8000,0.6500,0.5000,0.3500,0.2000,0.0500,0.7500
E32,0.7500,0.6500,0.5500,0.4500,0.3500,0.2500,0.1500,0.0500,0.8000,0.7000,0.6000,0.5000
E33,0.8000,0.7500,0.7000,0.6500,0.6000,0.5500,0.5000,0.4500,0.4000,0.3500,0.3000,0.2500
E34,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
